file_name,method_name,real,esperado
PaymentResult,getD_state,NA,1
PaymentResult,getD_zip,NA,1
PaymentResult,getC_id,NA,1
PaymentResult,getC_first,NA,1
PaymentResult,getC_middle,NA,1
PaymentResult,getC_last,NA,1
PaymentResult,getC_street_1,NA,1
PaymentResult,getC_street_2,NA,1
PaymentResult,getC_city,NA,1
PaymentResult,getC_state,NA,1
PaymentResult,getC_zip,NA,1
PaymentResult,getC_since,NA,1
PaymentResult,getC_credit,NA,1
PaymentResult,getC_discount,NA,1
PaymentResult,getC_phone,NA,1
PaymentResult,getH_amount,NA,1
PaymentResult,getC_credit_lim,NA,1
PaymentResult,getC_balance,NA,1
PaymentResult,getC_data,NA,1
PaymentResult,setW_id,NA,1
PaymentResult,setW_street_1,NA,1
PaymentResult,setW_street_2,NA,1
PaymentResult,setW_city,NA,1
PaymentResult,setW_state,NA,1
PaymentResult,setW_zip,NA,1
PaymentResult,setD_id,NA,1
PaymentResult,setD_street_1,NA,1
PaymentResult,setD_street_2,NA,1
PaymentResult,setD_city,NA,1
PaymentResult,setD_state,NA,1
PaymentResult,setD_zip,NA,1
PaymentResult,setC_id,NA,1
PaymentResult,setC_first,NA,1
PaymentResult,setC_middle,NA,1
PaymentResult,setC_last,NA,1
PaymentResult,setC_street_1,NA,1
PaymentResult,setC_street_2,NA,1
PaymentResult,setC_city,NA,1
PaymentResult,setC_state,NA,1
PaymentResult,setC_zip,NA,1
PaymentResult,setC_since,NA,1
PaymentResult,setC_credit,NA,1
PaymentResult,setC_discount,NA,1
PaymentResult,setC_phone,NA,1
PaymentResult,setH_amount,NA,1
PaymentResult,setC_credit_lim,NA,1
PaymentResult,setC_balance,NA,1
PaymentResult,setC_data,NA,1
ShortOrder,getO_id,NA,1
ShortOrder,setO_id,NA,1
ShortOrder,getTotal_amount,NA,1
ShortOrder,setTotal_amount,NA,0
Delivery_Vx0,deliveryTransaction,NA,1
Delivery_Vx051,deliveryTransaction,NA,1
Delivery_Vx075,deliveryTransaction,NA,1
Delivery_Vx099,deliveryTransaction,NA,1
Delivery_Vx123,deliveryTransaction,NA,1
Delivery_Vx138,deliveryTransaction,NA,1
Delivery_Vx154,deliveryTransaction,NA,1
Delivery_Vx176,deliveryTransaction,NA,1
Delivery_VxA,deliveryTransaction,NA,1
NewOrder_Vx0,newOrderTransaction,NA,1
NewOrder_Vx056,newOrderTransaction,NA,1
NewOrder_Vx081,newOrderTransaction,NA,1
NewOrder_Vx103,newOrderTransaction,NA,1
NewOrder_Vx119,newOrderTransaction,NA,1
NewOrder_Vx144,newOrderTransaction,NA,1
NewOrder_VxA,newOrderTransaction,NA,1
OrderStatus_Vx0,orderStatusTransaction,NA,1
OrderStatus_Vx046,orderStatusTransaction,NA,1
OrderStatus_Vx066,orderStatusTransaction,NA,1
OrderStatus_Vx096,orderStatusTransaction,NA,1
OrderStatus_Vx122,orderStatusTransaction,NA,1
OrderStatus_Vx143,orderStatusTransaction,NA,1
OrderStatus_VxA,orderStatusTransaction,NA,1
Payment_Vx0,paymentTransaction,NA,1
Payment_Vx043,paymentTransaction,NA,1
Payment_Vx057,paymentTransaction,NA,1
Payment_Vx078,paymentTransaction,NA,1
Payment_Vx091,paymentTransaction,NA,1
Payment_Vx115,paymentTransaction,NA,1
Payment_Vx136,paymentTransaction,NA,1
Payment_Vx177,paymentTransaction,NA,1
Payment_Vx212,paymentTransaction,NA,1
Payment_Vx241,paymentTransaction,NA,1
Payment_Vx257,paymentTransaction,NA,1
Payment_Vx290,paymentTransaction,NA,1
Payment_VxA,paymentTransaction,NA,1
StockLevel_Vx0,stockLevelTransaction,NA,1
StockLevel_Vx033,stockLevelTransaction,NA,1
StockLevel_Vx057,stockLevelTransaction,NA,1
StockLevel_VxA,stockLevelTransaction,NA,1
AdminUpdate_Vx0,adminUpdate,NA,1
AdminUpdate_VxA,adminUpdate,NA,1
CreateNewCustomer_Vx0,createNewCustomer,NA,1
CreateNewCustomer_Vx0,enterAddress,NA,1
CreateNewCustomer_Vx078,createNewCustomer,NA,1
CreateNewCustomer_Vx078,enterAddress,NA,1
CreateNewCustomer_Vx103,createNewCustomer,NA,1
CreateNewCustomer_Vx103,enterAddress,NA,1
CreateNewCustomer_Vx113,createNewCustomer,NA,1
CreateNewCustomer_Vx113,enterAddress,NA,1
CreateNewCustomer_Vx132,createNewCustomer,NA,1
CreateNewCustomer_Vx132,enterAddress,NA,1
CreateNewCustomer_VxA,createNewCustomer,NA,1
CreateNewCustomer_VxA,enterAddress,NA,1
CreateShoppingCart_Vx0,createShoppingCart,NA,1
CreateShoppingCart_Vx0,createEmptyCart,NA,1
CreateShoppingCart_Vx0,doCart,NA,1
CreateShoppingCart_Vx0,addItem,NA,1
CreateShoppingCart_Vx0,refreshCart,NA,0
CreateShoppingCart_Vx0,addRandomItemToCartIfNecessary,NA,1
CreateShoppingCart_Vx0,getRelated1,NA,1
CreateShoppingCart_Vx0,resetCartTime,NA,1
CreateShoppingCart_Vx0,getCart,NA,1
CreateShoppingCart_VxA,createShoppingCart,NA,1
CreateShoppingCart_VxA,createEmptyCart,NA,1
CreateShoppingCart_VxA,doCart,NA,1
CreateShoppingCart_VxA,addItem,NA,1
CreateShoppingCart_VxA,refreshCart,NA,1
CreateShoppingCart_VxA,addRandomItemToCartIfNecessary,NA,1
CreateShoppingCart_VxA,getRelated1,NA,1
CreateShoppingCart_VxA,resetCartTime,NA,1
CreateShoppingCart_VxA,getCart,NA,1
DoAuthorSearch_Vx0,doAuthorSearch,NA,1
DoAuthorSearch_VxA,doAuthorSearch,NA,1
DoSubjectSearch_Vx0,doSubjectSearch,NA,1
DoSubjectSearch_VxA,doSubjectSearch,NA,1
DoTitleSearch_Vx0,doTitleSearch,NA,1
DoTitleSearch_VxA,doTitleSearch,NA,1
GetBestSellers_Vx0,getBestSellers,NA,1
GetBestSellers_VxA,getBestSellers,NA,1
GetCustomer_Vx0,getCustomer,NA,1
GetCustomer_VxA,getCustomer,NA,1
GetMostRecentOrder_Vx0,getMostRecentOrder,NA,1
GetMostRecentOrder_VxA,getMostRecentOrder,NA,1
GetNewProducts_Vx0,getNewProducts,NA,1
GetNewProducts_VxA,getNewProducts,NA,1
GetPassword_Vx0,getPassword,NA,1
GetPassword_VxA,getPassword,NA,1
GetUsername_Vx0,getUserName,NA,1
GetUsername_VxA,getUserName,NA,1
TPCWUtil,DigSyl,NA,1
TPCWUtil,formatDate,NA,1
TPCWUtil,getRandomI_ID,NA,1
Database,pickConnection,NA,1
Database,relaseConnection,NA,1
Database,createStatement,NA,1
Logging,info,NA,1
Logging,trace,NA,1
